"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Lavanya J M S.; P S.","Lavanya J M, Sheela (58999473600); P, Subbulakshmi (58999028800)","58999473600; 58999028800","Innovative approach towards early prediction of ovarian cancer: Machine learning- enabled XAI techniques","2024","Heliyon","10","9","e29197","","","","0","10.1016/j.heliyon.2024.e29197","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191185593&doi=10.1016%2fj.heliyon.2024.e29197&partnerID=40&md5=36dfef989be63382f56a48e7abf0b954","Globally, ovarian cancer affects women disproportionately, causing significant morbidity and mortality rates. The early diagnosis of ovarian cancer is necessary for enhancing patient health and survival rates. This research article explores the utilization of Machine Learning (ML) techniques alongside eXplainable Artificial Intelligence (XAI) methodologies to aid in the early detection of ovarian cancer. ML techniques have recently gained popularity in developing predictive models to detect early-stage ovarian cancer. These predictions are made using XAI in a transparent and understandable way for healthcare professionals and patients. The primary aim of this study is to evaluate the effectiveness of various ovarian cancer prediction methodologies. This includes assessing K Nearest Neighbors, Support Vector Machines, Decision trees, and ensemble learning techniques such as Max Voting, Boosting, Bagging, and Stacking. A dataset of 349 patients with known ovarian cancer status was collected from Kaggle. The dataset included a comprehensive range of clinical features such as age, family history, tumor markers, and imaging characteristics. Preprocessing techniques were applied to enhance input data, including feature scaling and dimensionality reduction. A Minimum Redundancy Maximum Relevance (MRMR) algorithm was used to select the features in the model. Our experimental results demonstrate that in Support Vector Machines, we found 85 % base model accuracy and 89 % accuracy after stacking several ensemble learning techniques. With the help of XAI, complex ML algorithms can be given more profound insights into their decision-making, improving their applicability. This paper aims to introduce the best practices for integrating ML and artificial intelligence in biomarker evaluation. Building and evaluating Shapley values-based classifiers and visualizing results were the focus of our investigation. The study contributes to the field of oncology and women's health by offering a promising approach to the early diagnosis of ovarian cancer. © 2024 The Authors","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85191185593"
"Romano D.; Novielli P.; Diacono D.; Cilli R.; Pantaleo E.; Amoroso N.; Bellantuono L.; Monaco A.; Bellotti R.; Tangaro S.","Romano, Donato (58174292500); Novielli, Pierfrancesco (58172791300); Diacono, Domenico (6603113523); Cilli, Roberto (57218566813); Pantaleo, Ester (16245945500); Amoroso, Nicola (55419832300); Bellantuono, Loredana (56166549700); Monaco, Alfonso (7201639219); Bellotti, Roberto (8419904800); Tangaro, Sabina (8712490600)","58174292500; 58172791300; 6603113523; 57218566813; 16245945500; 55419832300; 56166549700; 7201639219; 8419904800; 8712490600","Insights from Explainable Artificial Intelligence of Pollution and Socioeconomic Influences for Respiratory Cancer Mortality in Italy","2024","Journal of Personalized Medicine","14","4","430","","","","0","10.3390/jpm14040430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191690673&doi=10.3390%2fjpm14040430&partnerID=40&md5=234669448e0aae9df7855cf347743bf4","Respiratory malignancies, encompassing cancers affecting the lungs, the trachea, and the bronchi, pose a significant and dynamic public health challenge. Given that air pollution stands as a significant contributor to the onset of these ailments, discerning the most detrimental agents becomes imperative for crafting policies aimed at mitigating exposure. This study advocates for the utilization of explainable artificial intelligence (XAI) methodologies, leveraging remote sensing data, to ascertain the primary influencers on the prediction of standard mortality rates (SMRs) attributable to respiratory cancer across Italian provinces, utilizing both environmental and socioeconomic data. By scrutinizing thirteen distinct machine learning algorithms, we endeavor to pinpoint the most accurate model for categorizing Italian provinces as either above or below the national average SMR value for respiratory cancer. Furthermore, employing XAI techniques, we delineate the salient factors crucial in predicting the two classes of SMR. Through our machine learning scrutiny, we illuminate the environmental and socioeconomic factors pertinent to mortality in this disease category, thereby offering a roadmap for prioritizing interventions aimed at mitigating risk factors. © 2024 by the authors.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85191690673"
"Shi Z.; Chang F.; Jia Y.; Li J.; Qiu Y.; Miao J.; Jiang W.; Guo X.; Han X.; Tang W.","Shi, Zhonghao (58745228500); Chang, Fangyuan (57203525153); Jia, Yuanzheng (57376362900); Li, Jun (57201796989); Qiu, Yawei (57201357158); Miao, Jinfeng (55272328400); Jiang, Wei (56931737900); Guo, Xiaojun (35791104200); Han, Xiangan (57711843100); Tang, Wei (57220768948)","58745228500; 57203525153; 57376362900; 57201796989; 57201357158; 55272328400; 56931737900; 35791104200; 57711843100; 57220768948","Classifying and Understanding of Dairy Cattle Health Using Wearable Inertial Sensors with Random Forest and Explainable Artificial Intelligence","2024","IEEE Sensors Letters","8","3","6001804","1","4","3","0","10.1109/LSENS.2024.3358619","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183941947&doi=10.1109%2fLSENS.2024.3358619&partnerID=40&md5=a9ca968246cf73d6ae3811e8ff0ef989","Recent developments in the field of machine learning andwearable sensor technology have led to a renewed interest in the efficient monitoring of cattle health conditions. Wearable inertial sensors are particularly suited for a noninvasive solution to assess cattle health by continuously providing their daily behavior information. However, current classification methods have limitations in terms of the lack of interpretability analysis of the resulting models for the combined behaviors. In this study, a data-driven assessment approach was proposed to classify and understand cattle health through behavior recognition and health classification algorithms. Data were collected through wearable sensors attached to the cattle's collar and leg, providing acceleration, angular velocity, and Euler angles. Random forest was used to implement behavior recognition and health classification of dairy cattle, which was incorporated with explainable artificial intelligence (XAI) for result interpretation. The behavior recognition model achieves high accuracy in distinguishing between behaviors. The health classification model exhibits a strong discriminative ability, and the receiver operating characteristic curve confirms its effectiveness in identifying cattle health status using behavior data. The results showcase the crucial role of XAI analysis in establishing a correlational description between the combined behavioral characteristics of cows and their health classification. This work not only enhances the credibility of the development model but also offers valuable guidance for the predictions of cattle health by motion and feeding behaviors.  © 2017 IEEE.","Article","Final","","Scopus","2-s2.0-85183941947"
"Hu M.; Yue N.; Groves R.M.","Hu, Muping (57204030877); Yue, Nan (57191439685); Groves, Roger M. (57055203600)","57204030877; 57191439685; 57055203600","Damage Classification of a Bolted Connection using Guided Waves and Explainable Artificial Intelligence","2024","Procedia Structural Integrity","52","","","224","233","9","0","10.1016/j.prostr.2023.12.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186668093&doi=10.1016%2fj.prostr.2023.12.023&partnerID=40&md5=06f8f01162940cbc2764480185844891","With the improvements in computational power and advances in chip and sensor technology, the applications of machine learning (ML) technologies in structural health monitoring (SHM) are increasing rapidly. Compared with traditional methods, deep learning based SHM (Deep SHM) methods are more efficient and have a higher accuracy. However, due to the black box nature of deep learning, the trained models are usually difficult to interpret, which blocks their practical application. Therefore, it is of great importance to develop explainable artificial intelligence (XAI) methods to understand the internal decision-making mechanisms of damage classification in Deep SHM. In this paper, a novel XAI algorithm named Deep Gradient-weighted Class Activation Mapping (Deep Grad CAM) is proposed by combining the existing method Grad CAM with the convolutional neural network (CNN) deconvolution mechanism. In this paper, Deep Grad CAM is used to interpret a one-dimensional convolutional neural network trained to detect bolt loosening based on guided wave propagation. The interpretation performance of Deep Grad CAM is compared with Grad CAM, and their performances are quantified using Infidelity. The results show that the Infidelity of Deep Grad CAM is much smaller than that of Grad CAM, indicating significant improvements in explanation accuracy and reliability. © 2023 The Authors. Published by Elsevier B.V.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85186668093"
"Kundu A.; Nguyen U.T.","Kundu, Arghya (58979112500); Nguyen, Uyen Trang (55664212400)","58979112500; 55664212400","Automated Fact Checking Using A Knowledge Graph-based Model","2024","6th International Conference on Artificial Intelligence in Information and Communication, ICAIIC 2024","","","","709","716","7","0","10.1109/ICAIIC60209.2024.10463196","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189943978&doi=10.1109%2fICAIIC60209.2024.10463196&partnerID=40&md5=2d0e81929a311f8b3ebcb78c13b5e697","Misinformation is a growing threat to the economy, social stability, public health, democracy, and national security. One of the most effective methods to combat misinformation is fact checking. Fact checking is the process of verifying the factual accuracy of a statement or claim. Fact checkers employ rigorous methodologies to scrutinize claims, verify sources, and expose falsehoods. However, the huge volume of content circulating online makes it challenging for humans to identify misinformation manually. Automated tools can analyze large datasets to detect patterns in misinformation content, scaling up fact checking efforts. This paper proposes a knowledge graph-based fact checking model that uses two separate knowledge graphs, one containing true claims and the other, false claims. The model uses knowledge graph embeddings which are based on convolutional neural networks. The deep learning model is trained on the above two knowledge graphs to learn distinguishing patterns between true and false claims. Additionally, we employ explainable artificial intelligence (XAI) techniques to provide explanations for the model's classification, reducing cost of errors and increasing transparency and user trust in the system. © 2024 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85189943978"
"Aversano L.; Bernardi M.L.; Cimitile M.; Montano D.; Pecori R.; Veltri L.","Aversano, Lerina (6701736448); Bernardi, Mario Luca (57195515766); Cimitile, Marta (23392132800); Montano, Debora (57751325700); Pecori, Riccardo (35186369500); Veltri, Luca (6603599631)","6701736448; 57195515766; 23392132800; 57751325700; 35186369500; 6603599631","Explainable Anomaly Detection of Synthetic Medical IoT Traffic Using Machine Learning","2024","SN Computer Science","5","5","488","","","","0","10.1007/s42979-024-02830-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191298105&doi=10.1007%2fs42979-024-02830-4&partnerID=40&md5=1a217f23e6bac42f82850314b9ab9c73","In the context of the Internet of Things (IoT), particularly within medical facilities, the detection and categorization of Internet traffic remain significant challenges. While conventional methods for IoT traffic analysis can be applied, obtaining suitable medical traffic data is challenging due to the stringent privacy constraints associated with the health domain. To address this, this study proposes a network traffic simulation approach using an open-source tool called IoT Flock, which supports both CoAP and MQTT protocols. The tool is used to create a synthetic dataset, to simulate IoT traffic originating from various smart devices in different hospital rooms. The study shows a complete anomaly detection analysis of IoT-Flock-generated traffic, both normal and malicious, by leveraging and comparing traditional machine learning techniques, deep learning models with multiple hidden layers, and explainable artificial intelligence techniques. The results are very promising. For the binary classification, for example, the obtained accuracy is close to 100% in the case of the CoAP protocol. Good results are also obtained when the multinomial classification is performed, observing that CoAP packets are classified better than MQTT packets, even if the identification of the different MQTT packets reaches very high metrics for the most of the considered algorithms. Moreover, the obtained classification rules are also meaningful in the considered IoT context. The results indicate that IoT-Flock synthetic data can effectively be used to train and test machine and deep learning models for detecting abnormal IoT traffic in medical scenarios. This research attempts also to bridge the gap between IoT security and healthcare, providing useful insights into securing medical IoT networks in general. © The Author(s) 2024.","Article","Final","","Scopus","2-s2.0-85191298105"
"Tang H.; Miri Rekavandi A.; Rooprai D.; Dwivedi G.; Sanfilippo F.M.; Boussaid F.; Bennamoun M.","Tang, Hao (58158397800); Miri Rekavandi, Aref (58016959600); Rooprai, Dharjinder (25629906900); Dwivedi, Girish (10340469500); Sanfilippo, Frank M. (9736813100); Boussaid, Farid (6602749360); Bennamoun, Mohammed (7004376121)","58158397800; 58016959600; 25629906900; 10340469500; 9736813100; 6602749360; 7004376121","Analysis and evaluation of explainable artificial intelligence on suicide risk assessment","2024","Scientific Reports","14","1","6163","","","","0","10.1038/s41598-024-53426-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187910106&doi=10.1038%2fs41598-024-53426-0&partnerID=40&md5=420035e4b1c6796bbda1878a0ffae172","This study explores the effectiveness of Explainable Artificial Intelligence (XAI) for predicting suicide risk from medical tabular data. Given the common challenge of limited datasets in health-related Machine Learning (ML) applications, we use data augmentation in tandem with ML to enhance the identification of individuals at high risk of suicide. We use SHapley Additive exPlanations (SHAP) for XAI and traditional correlation analysis to rank feature importance, pinpointing primary factors influencing suicide risk and preventive measures. Experimental results show the Random Forest (RF) model is excelling in accuracy, F1 score, and AUC (>97% across metrics). According to SHAP, anger issues, depression, and social isolation emerge as top predictors of suicide risk, while individuals with high incomes, esteemed professions, and higher education present the lowest risk. Our findings underscore the effectiveness of ML and XAI in suicide risk assessment, offering valuable insights for psychiatrists and facilitating informed clinical decisions. © Crown 2024.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85187910106"
"Khan U.A.; Kauttonen J.; Henttonen P.; Määttänen I.","Khan, Umair Ali (56653146300); Kauttonen, Janne (24449222400); Henttonen, Pentti (56180528600); Määttänen, Ilmari (37091039200)","56653146300; 24449222400; 56180528600; 37091039200","Understanding the impact of sisu on workforce and well-being: A machine learning-based analysis","2024","Heliyon","10","2","e24148","","","","0","10.1016/j.heliyon.2024.e24148","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182550173&doi=10.1016%2fj.heliyon.2024.e24148&partnerID=40&md5=1478ab797c3bef907514f7fb320f8ec3","This study investigates the construct of sisu, a Finnish attribute representing mental resilience and fortitude when confronted with difficult situations. By leveraging advanced analytical methods and explainable Artificial Intelligence, we gain insights into how sisu factors influence well-being, work efficiency, and overall health. We investigate how the beneficial aspects of sisu contribute significantly to mental and physical health, satisfaction, and professional accomplishments. Conversely, we analyze the harmful sisu and its adverse impacts on the same domains. Our findings, including intriguing trends related to age, educational level, emotional states, and gender, pave the way for developing tailored solutions and initiatives to nurture the beneficial aspects of sisu and curtail the damaging consequences of sisu within professional settings and personal welfare. © 2024 The Authors","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85182550173"
"","","","7th International Conference on Microelectronics and Telecommunication Engineering, ICMETE 2023","2024","Lecture Notes in Networks and Systems","894","","","","","812","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189559818&partnerID=40&md5=8f565fe27ad4497ad454e5d1b6d4bf4a","The proceedings contain 66 papers. The special focus in this conference is on Microelectronics and Telecommunication Engineering. The topics include: OpenFace Tracker and GoogleNet: To Track and Detect Emotional States for People with Asperger Syndrome; vehicle Classification and License Number Plate Detection Using Deep Learning; Car Price Prediction Model Using ML; effects of Material Deformation on U-shaped Optical Fiber Sensor; Classification of DNA Sequence for Diabetes Mellitus Type Using Machine Learning Methods; unveiling the Future: A Review of Financial Fraud Detection Using Artificial Intelligence Techniques; remodeling E-Commerce Through Decentralization: A Study of Trust, Security and Efficiency; estimation of Wildfire Conditions via Perimeter and Surface Area Optimization Using Convolutional Neural Network; a Framework Provides Authorized Personnel with Secure Access to Their Electronic Health Records; explainable Artificial Intelligence for Deep Learning Models in Diagnosing Brain Tumor Disorder; pioneering a New Era of Global Transactions: Decentralized Overseas Transactions on the Blockchain; a Perspective Review of Generative Adversarial Network in Medical Image Denoising; osteoporosis Detection Based on X-Ray Using Deep Convolutional Neural Network; fault Prediction and Diagnosis of Bearing Assembly; bearing Fault Diagnosis Using Machine Learning Models; a High-Payload Image Steganography Based on Shamir’s Secret Sharing Scheme; Design and Comparison of Various Parameters of T-Shaped TFET of Variable Gate Lengths and Materials; experiment to Find Out Suitable Machine Learning Algorithm for Enzyme Subclass Classification; iris Recognition Method for Non-cooperative Images; an Exploration: Deep Learning-Based Hybrid Model for Automated Diagnosis and Classification of Brain Tumor Disorder; recognition of Apple Leaves Infection Using DenseNet121 with Additional Layers.","Conference review","Final","","Scopus","2-s2.0-85189559818"
"Aikodon N.; Ortega-Martorell S.; Olier I.","Aikodon, Nosa (58844338700); Ortega-Martorell, Sandra (36090096200); Olier, Ivan (8914762100)","58844338700; 36090096200; 8914762100","Predicting Decompensation Risk in Intensive Care Unit Patients Using Machine Learning","2024","Algorithms","17","1","6","","","","0","10.3390/a17010006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183184053&doi=10.3390%2fa17010006&partnerID=40&md5=c82e48882c832947a11d777f07ebf33c","Patients in Intensive Care Units (ICU) face the threat of decompensation, a rapid decline in health associated with a high risk of death. This study focuses on creating and evaluating machine learning (ML) models to predict decompensation risk in ICU patients. It proposes a novel approach using patient vitals and clinical data within a specified timeframe to forecast decompensation risk sequences. The study implemented and assessed long short-term memory (LSTM) and hybrid convolutional neural network (CNN)-LSTM architectures, along with traditional ML algorithms as baselines. Additionally, it introduced a novel decompensation score based on the predicted risk, validated through principal component analysis (PCA) and k-means analysis for risk stratification. The results showed that, with PPV = 0.80, NPV = 0.96 and AUC-ROC = 0.90, CNN-LSTM had the best performance when predicting decompensation risk sequences. The decompensation score’s effectiveness was also confirmed (PPV = 0.83 and NPV = 0.96). SHAP plots were generated for the overall model and two risk strata, illustrating variations in feature importance and their associations with the predicted risk. Notably, this study represents the first attempt to predict a sequence of decompensation risks rather than single events, a critical advancement given the challenge of early decompensation detection. Predicting a sequence facilitates early detection of increased decompensation risk and pace, potentially leading to saving more lives. © 2023 by the authors.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85183184053"
"Brankovic A.; Huang W.; Cook D.; Khanna S.; Bialkowski K.","Brankovic, Aida (48860972300); Huang, Wenjie (58482861700); Cook, David (15764622300); Khanna, Sankalp (54583756600); Bialkowski, Konstanty (6603836683)","48860972300; 58482861700; 15764622300; 54583756600; 6603836683","Elucidating Discrepancy in Explanations of Predictive Models Developed Using EMR","2024","Studies in Health Technology and Informatics","310","","","865","869","4","0","10.3233/SHTI231088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183587096&doi=10.3233%2fSHTI231088&partnerID=40&md5=6a910ea82578a74b60db206ffa1e6272","The lack of transparency and explainability hinders the clinical adoption of Machine learning (ML) algorithms. While explainable artificial intelligence (XAI) methods have been proposed, little research has focused on the agreement between these methods and expert clinical knowledge. This study applies current state-of-the-art explainability methods to clinical decision support algorithms developed for Electronic Medical Records (EMR) data to analyse the concordance between these factors and discusses causes for identified discrepancies from a clinical and technical perspective. Important factors for achieving trustworthy XAI solutions for clinical decision support are also discussed.  © 2024 International Medical Informatics Association (IMIA) and IOS Press.","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85183587096"
"Kose U.; Sengoz N.; Chen X.; Saucedo J.A.M.","Kose, Utku (36544118500); Sengoz, Nilgun (57219639156); Chen, Xi (59092083700); Saucedo, Jose Antonio Marmolejo (59094324400)","36544118500; 57219639156; 59092083700; 59094324400","Explainable Artificial Intelligence (XAI) in healthcare","2024","Explainable Artificial Intelligence (XAI) in Healthcare","","","","1","208","207","0","10.1201/9781003426073","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192553949&doi=10.1201%2f9781003426073&partnerID=40&md5=d108d5a39de13be44cebcfbd910f18e4","This book highlights the use of explainable artificial intelligence (XAI) for healthcare problems, in order to improve trustworthiness, performance and sustainability levels in the context of applications. Explainable Artificial Intelligence (XAI) in Healthcare adopts the understanding that AI solutions should not only have high accuracy performance, but also be transparent, understandable and reliable from the end user's perspective. The book discusses the techniques, frameworks, and tools to effectively implement XAI methodologies in critical problems of healthcare field. The authors offer different types of solutions, evaluation methods and metrics for XAI and reveal how the concept of explainability finds a response in target problem coverage. The authors examine the use of XAI in disease diagnosis, medical imaging, health tourism, precision medicine and even drug discovery. They also point out the importance of user perspectives and value of the data used in target problems. Finally, the authors also ensure a well-defined future perspective for advancing XAI in terms of healthcare. This book will offer great benefits to students at the undergraduate and graduate levels and researchers. The book will also be useful for industry professionals and clinicians who perform critical decision-making tasks. © © 2024 selection and editorial matter, Utku Kose, Nilgun Sengoz, Xi Chen and Jose Antonio Marmolejo Saucedo. All rights reserved.","Book","Final","","Scopus","2-s2.0-85192553949"
"Ahmad I.; Zhu M.; Li G.; Javeed D.; Kumar P.; Chen S.","Ahmad, Ijaz (58280612400); Zhu, Mingxing (55903611500); Li, Guanglin (7407054228); Javeed, Danish (57216501078); Kumar, Prabhat (57441546500); Chen, Shixiong (35236039500)","58280612400; 55903611500; 7407054228; 57216501078; 57441546500; 35236039500","A Secure and Interpretable AI for Smart Healthcare System: A Case Study on Epilepsy Diagnosis Using EEG Signals","2024","IEEE Journal of Biomedical and Health Informatics","","","","1","12","11","0","10.1109/JBHI.2024.3366341","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188673392&doi=10.1109%2fJBHI.2024.3366341&partnerID=40&md5=b0775300f2d7b72471e9f06c1ebfd99f","The efficient patient-independent and interpretable framework for electroencephalogram (EEG) epileptic seizure detection (ESD) has informative challenges due to the complex pattern of EEG nature. Automated detection of ES is crucial, and Explainable Artificial Intelligence (XAI) is urgently needed to justify algorithmic predictions in clinical settings. Therefore, this study implements an XAI-based computer-aided ES detection system (XAI-CAESDs), comprising three major modules including of feature engineering module, a seizure detection module, and an explainable decision-making process module in a smart healthcare system. To ensure the privacy and security of biomedical EEG data, the blockchain is employed. Initially, the Butterworth filter eliminates various artifacts, and the Dual-Tree Complex Wavelet Transform (DTCWT) decomposes EEG signals, extracting real and imaginary eigenvalue features using frequency domain (FD), time domain (TD), and Fractal Dimension (FD) of linear and non-linear features. The best features are selected by using Correlation Coefficients (CC) and Distance Correlation (DC). The selected features are fed into the Stacking Ensemble Classifiers (SEC) for EEG ES detection. Further, the Shapley Additive Explanations (SHAP) method of XAI is implemented to facilitate the interpretation of predictions made by the proposed approach, enabling medical experts to make accurate and understandable decisions. The proposed ensemble-based stacking classifiers in XAI-CAESDs have demonstrated 2&#x0025; best average accuracy, Recall, specificity, and F1-score using the University of California, Irvine, Bonn University, and Boston Children&#x0027;s Hospital-MIT EEG data sets. The proposed framework enhances decision-making and the diagnosis process using biomedical EEG signals and ensures data security in smart healthcare systems. IEEE","Article","Article in press","","Scopus","2-s2.0-85188673392"
"Xiao Y.; Huo Y.; Cai J.; Gong Y.; Liang W.; Kolodziej J.","Xiao, Yufeng (58539658100); Huo, Yingzi (58184381900); Cai, Jiahong (57226277744); Gong, Yinyan (58183529700); Liang, Wei (58843978600); Kolodziej, Joanna (26435260800)","58539658100; 58184381900; 57226277744; 58183529700; 58843978600; 26435260800","ERF-XGB: An Edge-IoT-Based Explainable Model for Predictive Maintenance","2024","IEEE Transactions on Consumer Electronics","70","1","","4016","4025","9","0","10.1109/TCE.2024.3371440","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187984779&doi=10.1109%2fTCE.2024.3371440&partnerID=40&md5=8b1db9baede3680e2e5f94100bf9a52d","As the number of Internet of Things edge devices in smart factories increasing, it is crucial to predict the lifetime of the equipment to keep the production running normally. Although predictive maintenance based on machine learning achieve a better performance, they still face the challenge of black box and time-efficient. This paper propose a stacking-based model called ERF-XGB for predictive maintenance in the edge computing environment. The model first performs initial prediction by integrating the Random Forest model and Extreme Gradient Boosting model, followed by further processing of the initial prediction results using the linear regression model to obtain the final prediction results. In addition, the model incorporates the Shapley Additive exPlanations method, which can enhance the interpretability of the model when performing predictive maintenance. An experimental evaluation of the Predictive and Health Management dataset shows that the ERF-XGB model has an RMSE of 18.271 and an MAE of 13.454, which are the two metrics that perform the best when compared to other comparison models, suggesting that the model has a better predictive performance. Meanwhile, the Shapley Additive exPlanations method visualizes the impact of each edge device on normal operation in the production process, facilitating precise equipment management and maintenance.  © 1975-2011 IEEE.","Article","Final","","Scopus","2-s2.0-85187984779"
"Naser M.A.; Majeed A.A.; Alsabah M.; Al-Shaikhli T.R.; Kaky K.M.","Naser, Marwah Abdulrazzaq (57220935279); Majeed, Aso Ahmed (56385161000); Alsabah, Muntadher (57217525813); Al-Shaikhli, Taha Raad (57203802841); Kaky, Kawa M. (57190001890)","57220935279; 56385161000; 57217525813; 57203802841; 57190001890","A Review of Machine Learning’s Role in Cardiovascular Disease Prediction: Recent Advances and Future Challenges","2024","Algorithms","17","2","78","","","","1","10.3390/a17020078","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185845417&doi=10.3390%2fa17020078&partnerID=40&md5=dffdf9d506c439c8d28ed8e1682a7855","Cardiovascular disease is the leading cause of global mortality and responsible for millions of deaths annually. The mortality rate and overall consequences of cardiac disease can be reduced with early disease detection. However, conventional diagnostic methods encounter various challenges, including delayed treatment and misdiagnoses, which can impede the course of treatment and raise healthcare costs. The application of artificial intelligence (AI) techniques, especially machine learning (ML) algorithms, offers a promising pathway to address these challenges. This paper emphasizes the central role of machine learning in cardiac health and focuses on precise cardiovascular disease prediction. In particular, this paper is driven by the urgent need to fully utilize the potential of machine learning to enhance cardiovascular disease prediction. In light of the continued progress in machine learning and the growing public health implications of cardiovascular disease, this paper aims to offer a comprehensive analysis of the topic. This review paper encompasses a wide range of topics, including the types of cardiovascular disease, the significance of machine learning, feature selection, the evaluation of machine learning models, data collection & preprocessing, evaluation metrics for cardiovascular disease prediction, and the recent trends & suggestion for future works. In addition, this paper offers a holistic view of machine learning’s role in cardiovascular disease prediction and public health. We believe that our comprehensive review will contribute significantly to the existing body of knowledge in this essential area. © 2024 by the authors.","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85185845417"
"Ghosh S.K.; Khandoker A.H.","Ghosh, Samit Kumar (57197818632); Khandoker, Ahsan H. (23091108200)","57197818632; 23091108200","Investigation on explainable machine learning models to predict chronic kidney diseases","2024","Scientific Reports","14","1","3687","","","","0","10.1038/s41598-024-54375-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185094698&doi=10.1038%2fs41598-024-54375-4&partnerID=40&md5=21610ef596af0413b8b01d4711105dc8","Chronic kidney disease (CKD) is a major worldwide health problem, affecting a large proportion of the world’s population and leading to higher morbidity and death rates. The early stages of CKD sometimes present without visible symptoms, causing patients to be unaware. Early detection and treatments are critical in reducing complications and improving the overall quality of life for people afflicted. In this work, we investigate the use of an explainable artificial intelligence (XAI)-based strategy, leveraging clinical characteristics, to predict CKD. This study collected clinical data from 491 patients, comprising 56 with CKD and 435 without CKD, encompassing clinical, laboratory, and demographic variables. To develop the predictive model, five machine learning (ML) methods, namely logistic regression (LR), random forest (RF), decision tree (DT), Naïve Bayes (NB), and extreme gradient boosting (XGBoost), were employed. The optimal model was selected based on accuracy and area under the curve (AUC). Additionally, the SHAP (SHapley Additive exPlanations) and LIME (Local Interpretable Model-agnostic Explanations) algorithms were utilized to demonstrate the influence of the features on the optimal model. Among the five models developed, the XGBoost model achieved the best performance with an AUC of 0.9689 and an accuracy of 93.29%. The analysis of feature importance revealed that creatinine, glycosylated hemoglobin type A1C (HgbA1C), and age were the three most influential features in the XGBoost model. The SHAP force analysis further illustrated the model’s visualization of individualized CKD predictions. For further insights into individual predictions, we also utilized the LIME algorithm. This study presents an interpretable ML-based approach for the early prediction of CKD. The SHAP and LIME methods enhance the interpretability of ML models and help clinicians better understand the rationale behind the predicted outcomes more effectively. © The Author(s) 2024.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85185094698"
